PacketType,PayloadLen,DeviceID,Timestamp,PacketID,accel,Flags,Battery,CRC,time
2.0,24.0,1.0,7235.0,20.0,"[0.0, 0.0, 0.0]",3.0,0.0,128.0,0.121
2.0,24.0,2.0,7236.0,20.0,"[0.0, 0.0, 0.0]",3.0,0.0,222.0,0.122
2.0,24.0,2.0,7240.0,21.0,"[0.0, 0.0, 0.0]",3.0,0.0,213.0,0.126
2.0,24.0,3.0,7241.0,21.0,"[0.0, 0.0, 0.0]",3.0,0.0,64.0,0.127
2.0,24.0,1.0,7242.0,21.0,"[0.0, 0.0, 0.0]",3.0,0.0,215.0,0.128
2.0,24.0,2.0,7246.0,22.0,"[0.0, 0.0, 0.0]",3.0,0.0,42.0,0.132
2.0,24.0,3.0,7247.0,22.0,"[0.0, 0.0, 0.0]",3.0,0.0,191.0,0.133
2.0,24.0,1.0,7251.0,22.0,"[0.0, 0.0, 0.0]",3.0,0.0,93.0,0.137
2.0,24.0,1.0,7255.0,23.0,"[0.0, 0.0, 0.0]",3.0,0.0,157.0,0.141
2.0,24.0,2.0,7256.0,23.0,"[0.0, 0.0, 0.0]",3.0,0.0,8.0,0.142
2.0,24.0,3.0,7257.0,23.0,"[0.0, 0.0, 0.0]",3.0,0.0,157.0,0.143
2.0,24.0,3.0,7260.0,24.0,"[0.0, 0.0, 0.0]",3.0,0.0,4.0,0.146
2.0,24.0,2.0,7261.0,24.0,"[0.0, 0.0, 0.0]",3.0,0.0,145.0,0.147
2.0,24.0,1.0,7262.0,24.0,"[0.0, 0.0, 0.0]",3.0,0.0,41.0,0.148
2.0,24.0,3.0,7266.0,25.0,"[0.0, 0.0, 0.0]",3.0,0.0,200.0,0.152
2.0,24.0,1.0,7267.0,25.0,"[0.0, 0.0, 0.0]",3.0,0.0,44.0,0.153
2.0,24.0,2.0,7268.0,25.0,"[0.0, 0.0, 0.0]",3.0,0.0,114.0,0.154
2.0,24.0,3.0,7272.0,26.0,"[0.0, 0.0, 0.0]",3.0,0.0,26.0,0.158
2.0,24.0,1.0,7273.0,26.0,"[0.0, 0.0, 0.0]",3.0,0.0,254.0,0.159
2.0,24.0,2.0,7274.0,26.0,"[0.0, 0.0, 0.0]",3.0,0.0,70.0,0.16
2.0,24.0,1.0,7277.0,27.0,"[0.0, 0.0, 0.0]",3.0,0.0,62.0,0.163
2.0,24.0,2.0,7278.0,27.0,"[0.0, 0.0, 0.0]",3.0,0.0,134.0,0.164
2.0,24.0,3.0,7280.0,27.0,"[0.0, 0.0, 0.0]",3.0,0.0,102.0,0.166
2.0,24.0,2.0,7284.0,28.0,"[0.0, 0.0, 0.0]",3.0,0.0,93.0,0.17
2.0,24.0,1.0,7285.0,28.0,"[0.0, 0.0, 0.0]",3.0,0.0,150.0,0.171
2.0,24.0,3.0,7286.0,28.0,"[0.0, 0.0, 0.0]",3.0,0.0,1.0,0.172
