ID,PeakvGRF,vGRF_0,vGRF_1,vGRF_2,vGRF_3,vGRF_4,vGRF_5,vGRF_6,vGRF_7,vGRF_8,vGRF_9,vGRF_10,vGRF_11,vGRF_12,vGRF_13,vGRF_14,vGRF_15,vGRF_16,vGRF_17,vGRF_18,vGRF_19,vGRF_20,vGRF_21,vGRF_22,vGRF_23,vGRF_24,vGRF_25,vGRF_26,vGRF_27,vGRF_28,vGRF_29,vGRF_30,vGRF_31,vGRF_32,vGRF_33,vGRF_34,vGRF_35,vGRF_36,vGRF_37,vGRF_38,vGRF_39,vGRF_40,vGRF_41,vGRF_42,vGRF_43,vGRF_44,vGRF_45,vGRF_46,vGRF_47,vGRF_48,vGRF_49,vGRF_50,vGRF_51,vGRF_52,vGRF_53,vGRF_54,vGRF_55,vGRF_56,vGRF_57,vGRF_58,vGRF_59,vGRF_60,vGRF_61,vGRF_62,vGRF_63,vGRF_64,vGRF_65,vGRF_66,vGRF_67,vGRF_68,vGRF_69,vGRF_70,vGRF_71,vGRF_72,vGRF_73,vGRF_74,vGRF_75,vGRF_76,vGRF_77,vGRF_78,vGRF_79,vGRF_80,vGRF_81,vGRF_82,vGRF_83,vGRF_84,vGRF_85,vGRF_86,vGRF_87,vGRF_88,vGRF_89,vGRF_90,vGRF_91,vGRF_92,vGRF_93,vGRF_94,vGRF_95,vGRF_96,vGRF_97,vGRF_98,vGRF_99
L0,1.0296931,0.05501006916165352,0.0976196825504303,0.155977264046669,0.25265565514564514,0.3299857974052429,0.4068099856376648,0.49225687980651855,0.5437384247779846,0.5838866829872131,0.6361926198005676,0.7007861137390137,0.7533583641052246,0.801180362701416,0.8502870202064514,0.8975266218185425,0.9486050605773926,0.9776066541671753,1.0120201110839844,1.021511435508728,1.0296931266784668,1.0254324674606323,1.019364356994629,1.0115749835968018,0.9994543790817261,0.982665479183197,0.9730132818222046,0.9688107371330261,0.9507315754890442,0.9450665712356567,0.9409987926483154,0.9416649341583252,0.9439404010772705,0.9494786262512207,0.9545474052429199,0.9602396488189697,0.9747457504272461,0.981614351272583,0.9887027740478516,0.9924142360687256,0.9917924404144287,0.9963544607162476,0.9963638186454773,1.0060348510742188,1.0023396015167236,1.0076444149017334,1.0020548105239868,1.002550721168518,0.9996520280838013,0.9947229623794556,0.9899243116378784,0.9888468980789185,0.9709755778312683,0.9511522054672241,0.9258037805557251,0.8933332562446594,0.844469428062439,0.7902700901031494,0.7190638780593872,0.6226445436477661,0.5114657878875732,0.39710482954978943,0.28251373767852783,0.18885882198810577,0.11763018369674683,0.07255428284406662,0.04650167375802994,0.026525935158133507,0.019232703372836113,0.013857420533895493,0.009673161432147026,0.00891111884266138,0.0074280500411987305,0.011369364336133003,0.008682195097208023,0.005822519771754742,0.007440926507115364,0.007647590711712837,0.006342328153550625,0.012887166813015938,0.008839352056384087,0.009308256208896637,0.010860330425202847,0.006415707990527153,0.010546288453042507,0.00984953623265028,0.007881982252001762,0.011270926333963871,0.008300830610096455,0.008977827616035938,0.009356887079775333,0.007058175280690193,0.009722575545310974,0.010760274715721607,0.00828938651829958,0.010292661376297474,0.012071127071976662,0.010801784694194794,0.012079351581633091,0.03181004151701927,0.034725844860076904
L1,0.9617764,0.07611804455518723,0.15871074795722961,0.2841096818447113,0.4270155429840088,0.5660237669944763,0.6667810678482056,0.7373071908950806,0.7815937399864197,0.8001187443733215,0.8324182033538818,0.8574793338775635,0.8695658445358276,0.8873759508132935,0.9019674062728882,0.9159325361251831,0.9341603517532349,0.9387310743331909,0.9502205848693848,0.9472923278808594,0.9400020837783813,0.9368634223937988,0.9330229759216309,0.9364028573036194,0.9371494054794312,0.9362223148345947,0.936237096786499,0.9453326463699341,0.9364989995956421,0.9361885786056519,0.9423953294754028,0.9497244358062744,0.9497145414352417,0.9514087438583374,0.9522445201873779,0.9536190032958984,0.9548465013504028,0.951041579246521,0.9474597573280334,0.939485490322113,0.9339394569396973,0.9279513359069824,0.9292058348655701,0.9371082186698914,0.9339298009872437,0.9393219947814941,0.9420056343078613,0.9492075443267822,0.9508402347564697,0.9547618627548218,0.9617763757705688,0.9742273092269897,0.9681358337402344,0.9627686738967896,0.9482792615890503,0.9231065511703491,0.8724493384361267,0.8087857961654663,0.7274932861328125,0.6250020265579224,0.5058783292770386,0.3922152519226074,0.2768886387348175,0.1842571347951889,0.1226285919547081,0.07993605732917786,0.06280378252267838,0.04206060245633125,0.03292674943804741,0.026662059128284454,0.02217845804989338,0.02465296909213066,0.022487182170152664,0.021081585437059402,0.022640399634838104,0.018932048231363297,0.023542121052742004,0.022089438512921333,0.021132422611117363,0.026096796616911888,0.02276865392923355,0.02520192414522171,0.02440878003835678,0.02511659637093544,0.024868939071893692,0.024215273559093475,0.02173645794391632,0.024378132075071335,0.021325958892703056,0.02145416848361492,0.024716012179851532,0.02227974496781826,0.02327694371342659,0.023983323946595192,0.02246329002082348,0.021213507279753685,0.022316280752420425,0.024704307317733765,0.029204009100794792,0.04186984896659851,0.04525941610336304
R0,1.1649075,0.04306397587060928,0.10876022279262543,0.141665518283844,0.1940733939409256,0.2370763123035431,0.2722342312335968,0.3525625467300415,0.45788878202438354,0.549776017665863,0.6376241445541382,0.7243366837501526,0.7869176268577576,0.8366591930389404,0.8921165466308594,0.9369387626647949,0.9838770627975464,1.01050865650177,1.0347577333450317,1.0448259115219116,1.0419327020645142,1.0242295265197754,0.9989807605743408,0.9842954874038696,0.9551515579223633,0.925573468208313,0.9051089286804199,0.8967814445495605,0.8671523928642273,0.8544365167617798,0.8536121845245361,0.849406898021698,0.8511967658996582,0.8563028573989868,0.868923544883728,0.8843292593955994,0.9088476300239563,0.9286068677902222,0.9500129818916321,0.9620567560195923,0.9742608070373535,1.0000181198120117,1.0177216529846191,1.0441091060638428,1.060318946838379,1.0862421989440918,1.1035666465759277,1.1293054819107056,1.1450788974761963,1.1521315574645996,1.164907455444336,1.1746456623077393,1.1641020774841309,1.1611661911010742,1.1524765491485596,1.135642170906067,1.0971665382385254,1.04780113697052,0.9701298475265503,0.8632493615150452,0.7203555107116699,0.5587278008460999,0.3983595669269562,0.26828792691230774,0.1627657264471054,0.09685245901346207,0.059407833963632584,0.03256301209330559,0.01892032101750374,0.01390760112553835,0.007956678979098797,0.0026408089324831963,0.003720116801559925,0.009835566394031048,0.003485158085823059,-0.0016665775328874588,0.003918816335499287,0.0037633609026670456,0.0002362709492444992,0.007997846230864525,0.0015665162354707718,0.004641767591238022,0.006509585306048393,0.002259114757180214,0.005608085542917252,0.0033985842019319534,0.001025782898068428,0.007745162583887577,0.0056267306208610535,0.005185289308428764,0.00432033184915781,0.002724919468164444,0.005853693000972271,0.006913395598530769,0.005252388305962086,0.00705941766500473,0.0073603373020887375,0.00805299449712038,0.006785450503230095,0.024145115166902542,0.025605442002415657
R1,0.98405623,0.0351557619869709,0.07831230759620667,0.15808138251304626,0.24601751565933228,0.30044373869895935,0.3768678307533264,0.4930652976036072,0.5920084118843079,0.6787171363830566,0.7346671223640442,0.7808440923690796,0.8141730427742004,0.8320637345314026,0.8537334203720093,0.8780795335769653,0.9180710911750793,0.9346988201141357,0.9629055857658386,0.974834680557251,0.9840562343597412,0.9794336557388306,0.9747526049613953,0.975188136100769,0.9628459215164185,0.9514421224594116,0.9506140351295471,0.9535943269729614,0.9407245516777039,0.9374349117279053,0.9420053958892822,0.9385076761245728,0.937004566192627,0.9433010816574097,0.9451628923416138,0.9450914263725281,0.9559032917022705,0.9635236263275146,0.963088870048523,0.9644176363945007,0.9599313735961914,0.9652361869812012,0.9615923166275024,0.9669971466064453,0.9628410339355469,0.9672408103942871,0.9625400304794312,0.962579607963562,0.961724579334259,0.9521922469139099,0.9419771432876587,0.9314835071563721,0.9020392894744873,0.8713833093643188,0.8307445645332336,0.7848770022392273,0.7250081300735474,0.6711263656616211,0.6117535829544067,0.5352025032043457,0.4404555559158325,0.3494451642036438,0.25981178879737854,0.17718277871608734,0.1032375618815422,0.058680180460214615,0.03398092836141586,0.015761204063892365,0.0044112130999565125,0.0018483903259038925,-0.0025532618165016174,-0.004557900130748749,-0.004297005012631416,-0.002328302711248398,-0.004564983770251274,-0.00885796919465065,-0.004778021946549416,-0.005246428772807121,-0.008487943559885025,-0.00047527067363262177,-0.0047217682003974915,-0.0035266410559415817,-0.001959100365638733,-0.007486281916499138,-0.002296561375260353,-0.0037132445722818375,-0.0053465161472558975,-0.0012891162186861038,-0.003712780773639679,-0.003286631777882576,-0.0036044344305992126,-0.0058249738067388535,-0.002012619748711586,-0.002080606296658516,-0.005032209679484367,-0.003128292039036751,-0.0014537591487169266,-0.0006557311862707138,-0.0021723625250160694,0.012830154970288277,0.01425082702189684
L2,1.2530465,0.055776920169591904,0.1458992063999176,0.263048380613327,0.39382511377334595,0.5462133884429932,0.7108155488967896,0.8469750881195068,0.9220229387283325,0.988076388835907,1.0513101816177368,1.1150315999984741,1.1732072830200195,1.21555495262146,1.2335991859436035,1.2530465126037598,1.2508667707443237,1.23373281955719,1.2088873386383057,1.1613082885742188,1.1051385402679443,1.0459322929382324,0.9859033226966858,0.9311004877090454,0.8842175006866455,0.8392363786697388,0.8106827735900879,0.8013375997543335,0.7833759188652039,0.7773206830024719,0.784730076789856,0.7929210662841797,0.7974411845207214,0.8108067512512207,0.8297922611236572,0.8476959466934204,0.8800020217895508,0.8975284099578857,0.9195765256881714,0.9403765201568604,0.9582110047340393,0.9837851524353027,0.9993879795074463,1.0222554206848145,1.0320851802825928,1.0451533794403076,1.0456622838974,1.0502294301986694,1.0483375787734985,1.0441259145736694,1.0304110050201416,1.0162348747253418,0.991779088973999,0.9589359760284424,0.9094893932342529,0.8485970497131348,0.7780294418334961,0.697242796421051,0.6042348146438599,0.48896855115890503,0.3657171130180359,0.26393580436706543,0.17324520647525787,0.1133660078048706,0.06793846935033798,0.03907201439142227,0.023389901965856552,0.01672879047691822,0.01761479862034321,0.011627660132944584,0.013660840690135956,0.013760336674749851,0.012129995971918106,0.016289018094539642,0.013902736827731133,0.0129106305539608,0.01435902714729309,0.013334564864635468,0.014553338289260864,0.01629539392888546,0.013707149773836136,0.012601673603057861,0.01700838841497898,0.013733924366533756,0.013442745432257652,0.014455119147896767,0.013523661531507969,0.016157962381839752,0.013865980319678783,0.016204115003347397,0.014660745859146118,0.013673193752765656,0.014767004176974297,0.014410263858735561,0.01518368348479271,0.014071089215576649,0.015125226229429245,0.014529313892126083,0.01527705229818821,0.028718717396259308,0.03103189542889595
R2,1.0759015,0.05390334874391556,0.07686159014701843,0.07506243884563446,0.13544732332229614,0.21804723143577576,0.30637452006340027,0.427143931388855,0.5305730700492859,0.5789947509765625,0.609941303730011,0.6320925951004028,0.6442248225212097,0.6626213788986206,0.6796206831932068,0.7056736350059509,0.7652416825294495,0.802918016910553,0.8562591075897217,0.8926010131835938,0.9176838994026184,0.9295367002487183,0.9396877288818359,0.957421600818634,0.9567137956619263,0.9556584358215332,0.9572008848190308,0.9604731798171997,0.9420558214187622,0.9287294149398804,0.9262737035751343,0.9234402179718018,0.9189667105674744,0.9189425110816956,0.915770411491394,0.9192055463790894,0.9261064529418945,0.9263440370559692,0.929890513420105,0.9283693432807922,0.9244694709777832,0.9314725399017334,0.9382791519165039,0.9609465599060059,0.9678835868835449,0.9871174097061157,0.9991997480392456,1.0172480344772339,1.035691261291504,1.053314208984375,1.0759015083312988,1.1055924892425537,1.1108214855194092,1.1247437000274658,1.1405164003372192,1.1373205184936523,1.1024820804595947,1.0508164167404175,0.9559792280197144,0.8379102349281311,0.6932623386383057,0.5402567386627197,0.3953191041946411,0.265857994556427,0.16353081166744232,0.09798190742731094,0.06513543426990509,0.03582138940691948,0.02131381817162037,0.016301214694976807,0.006749795749783516,0.0049334000796079636,0.0052048396319150925,0.007813792675733566,0.0037880009040236473,-0.00224204920232296,0.004664690233767033,0.004208792001008987,0.0002832915633916855,0.010033752769231796,0.0050904881209135056,0.0075470441952347755,0.00803598202764988,0.004409368149936199,0.006058022379875183,0.003778107464313507,0.00243203341960907,0.008859241381287575,0.003893531858921051,0.004614594392478466,0.006295928731560707,0.001464158296585083,0.007052556611597538,0.009337042458355427,0.004866184666752815,0.005067996680736542,0.007829706184566021,0.00761914998292923,0.010555767454206944,0.03214813768863678,0.034909963607788086
L3,1.2374179,0.04975917935371399,0.18593308329582214,0.45107561349868774,0.7614058256149292,0.989503026008606,1.0915879011154175,1.1266059875488281,1.133156657218933,1.1463228464126587,1.188110589981079,1.2374179363250732,1.230927586555481,1.2078531980514526,1.1740167140960693,1.1333272457122803,1.078251600265503,1.0173780918121338,0.9562228322029114,0.8900971412658691,0.8263759613037109,0.7793357968330383,0.7499722242355347,0.7215743064880371,0.7088868618011475,0.7064346075057983,0.7147605419158936,0.7359182834625244,0.7544780969619751,0.7797365188598633,0.8112335801124573,0.8439171314239502,0.8700096011161804,0.897131621837616,0.9229339361190796,0.9446440935134888,0.9649648666381836,0.9777783155441284,0.9819291830062866,0.9796537756919861,0.9815306663513184,0.9747850894927979,0.9706904888153076,0.964281439781189,0.9549490213394165,0.9493228197097778,0.9427491426467896,0.9357511401176453,0.9263070225715637,0.9137568473815918,0.8967384099960327,0.8788124918937683,0.8407977819442749,0.7892169952392578,0.7233692407608032,0.6334552764892578,0.5177013874053955,0.39954322576522827,0.284601092338562,0.1935701221227646,0.11709138751029968,0.06818023324012756,0.031658563762903214,0.019565487280488014,0.005880450829863548,-0.0036106882616877556,0.0004101637750864029,0.0024079550057649612,-0.0036717820912599564,-0.003033580258488655,-0.0010832864791154861,-0.0015092957764863968,-0.0031861625611782074,1.2952834367752075e-05,-0.0004562940448522568,-0.0010163858532905579,0.00021046213805675507,-0.0012559741735458374,0.0006808927282691002,0.001255979761481285,-0.0022344067692756653,0.0009461659938097,0.0013385787606239319,0.0004939548671245575,0.0009636115282773972,0.0004358608275651932,-0.0011371206492185593,0.0008378885686397552,-0.001970425248146057,-0.0006116591393947601,-0.00014097429811954498,-0.0008981861174106598,-0.00018244795501232147,0.0004899352788925171,0.0006110873073339462,-0.0013157129287719727,0.0006614439189434052,0.00024455972015857697,0.0029450899455696344,0.004879619926214218,0.006969519425183535
R3,1.0503685,0.03286821395158768,0.13699482381343842,0.30631697177886963,0.41017836332321167,0.49900850653648376,0.6426607370376587,0.7583928108215332,0.8609093427658081,0.9407980442047119,0.9854687452316284,1.0008933544158936,1.0136494636535645,1.035936713218689,1.0371346473693848,1.0446369647979736,1.0503685474395752,1.0488612651824951,1.0332062244415283,1.0039684772491455,0.9630098342895508,0.923740029335022,0.8869038820266724,0.8462668657302856,0.8121500611305237,0.7785563468933105,0.7523180842399597,0.7360805869102478,0.7222249507904053,0.7195053100585938,0.7255333065986633,0.7268783450126648,0.7347049713134766,0.7416090965270996,0.753480851650238,0.7712506055831909,0.7905097007751465,0.8092154860496521,0.8253718614578247,0.843603253364563,0.8616045117378235,0.8844455480575562,0.9019221663475037,0.9189598560333252,0.9320160150527954,0.9453302621841431,0.9544841051101685,0.9590392708778381,0.9562042355537415,0.9511237740516663,0.936299741268158,0.9165206551551819,0.8861543536186218,0.846097469329834,0.7788826823234558,0.7063429355621338,0.6134456396102905,0.5025773048400879,0.37772637605667114,0.25167781114578247,0.14975018799304962,0.08184555172920227,0.033648617565631866,0.014301556162536144,0.003441824112087488,-0.0025529260747134686,-0.0017978614196181297,-0.002363544888794422,-0.0029394198209047318,-0.0017393957823514938,0.00038554705679416656,-0.0003732014447450638,-0.001154974102973938,-0.0016034971922636032,-0.0027050599455833435,-0.00022264011204242706,-0.0009820088744163513,-0.001361975446343422,-0.001190265640616417,-8.032098412513733e-05,-0.002136189490556717,-0.0017771963030099869,0.0012213867157697678,-0.00014793314039707184,0.0003642868250608444,0.0004327259957790375,-0.000885356217622757,-0.0013493075966835022,-0.002348627895116806,-0.00027580372989177704,-0.000757439061999321,-0.0017472803592681885,-0.0013544484972953796,-0.00013543665409088135,-0.0009291265159845352,-0.002056015655398369,-0.0002153925597667694,-0.00022477470338344574,0.00045815901830792427,0.005018333904445171,0.006516972556710243
L4,1.1702828,0.02665703184902668,0.14802029728889465,0.3062472641468048,0.4183368682861328,0.4961654543876648,0.5781984329223633,0.6813777685165405,0.7849394083023071,0.8597390651702881,0.9081433415412903,0.9475523233413696,0.9739507436752319,1.0069727897644043,1.0392537117004395,1.0477633476257324,1.045385718345642,1.0420664548873901,1.0358010530471802,1.0042595863342285,0.9798219203948975,0.9588947296142578,0.9355006217956543,0.8997520208358765,0.8722202777862549,0.8401743173599243,0.8158731460571289,0.7970125675201416,0.7750113010406494,0.7696879506111145,0.7670836448669434,0.7690145969390869,0.779659628868103,0.7955814003944397,0.8151313066482544,0.8378880023956299,0.8779094815254211,0.9128085374832153,0.9456650614738464,0.9855611324310303,1.0261058807373047,1.068269968032837,1.1020352840423584,1.1323648691177368,1.1542081832885742,1.1702828407287598,1.1612199544906616,1.1536297798156738,1.1238856315612793,1.081684947013855,1.015892505645752,0.9412600994110107,0.8512599468231201,0.7319595813751221,0.5805181264877319,0.43983760476112366,0.30119749903678894,0.20124539732933044,0.14907389879226685,0.11046856641769409,0.08269015699625015,0.06046862155199051,0.031678348779678345,0.02100415900349617,0.008815407752990723,0.003941172733902931,0.002598576247692108,-0.0017842566594481468,0.0024885060265660286,-0.0012245364487171173,-0.0010634791105985641,0.0012671686708927155,-0.001277722418308258,0.004455014131963253,0.0004964545369148254,0.002332925796508789,-0.0020185522735118866,-0.002190733328461647,0.0013524685055017471,0.0002422630786895752,-0.0010498538613319397,-0.002486063167452812,0.002883884124457836,-0.002465110272169113,-4.692375659942627e-05,-0.000502346083521843,-0.000491870567202568,0.0014014840126037598,-0.0013121776282787323,0.0014497339725494385,-0.0008334238082170486,-0.0009911060333251953,-0.0012508202344179153,0.0029771914705634117,0.0004155077040195465,-0.00016212090849876404,0.0016499729827046394,-0.0018139630556106567,-0.0011313529685139656,0.01316213607788086,0.016594354063272476
R4,1.4049902,0.08373138308525085,0.22798189520835876,0.5067876577377319,0.8533822298049927,1.1183393001556396,1.2136931419372559,1.245126724243164,1.2635470628738403,1.281200647354126,1.334472417831421,1.3923423290252686,1.4049901962280273,1.4024014472961426,1.369465947151184,1.323564052581787,1.2592580318450928,1.179572343826294,1.111419439315796,1.0276024341583252,0.9381388425827026,0.8698897361755371,0.8221473693847656,0.7756748795509338,0.7417528629302979,0.7131363153457642,0.6976461410522461,0.6943145394325256,0.6859246492385864,0.6840765476226807,0.6883465051651001,0.7038226127624512,0.7052766680717468,0.713545024394989,0.7204794883728027,0.731593132019043,0.7508819103240967,0.764046311378479,0.7751670479774475,0.7889863848686218,0.8218922019004822,0.840358316898346,0.8740701675415039,0.9135873317718506,0.9481326341629028,0.9865089654922485,1.0233211517333984,1.0492374897003174,1.0630214214324951,1.064651370048523,1.0594922304153442,1.0419154167175293,0.9891090393066406,0.9114669561386108,0.8006479144096375,0.6606245040893555,0.485039621591568,0.3311256766319275,0.20823392271995544,0.13146354258060455,0.07642636448144913,0.056589897722005844,0.03706700727343559,0.02756999060511589,0.020494092255830765,0.012824242934584618,0.022650644183158875,0.019820505753159523,0.013509559445083141,0.013156130909919739,0.0124818691983819,0.015341383405029774,0.014221299439668655,0.01279179472476244,0.016561061143875122,0.012581762857735157,0.018059412017464638,0.014013165608048439,0.017355799674987793,0.01673736236989498,0.012248084880411625,0.017318526282906532,0.016423875465989113,0.018768632784485817,0.017080625519156456,0.015132620930671692,0.013733761385083199,0.01680222898721695,0.012902315706014633,0.01602734997868538,0.015314385294914246,0.016254456713795662,0.015933025628328323,0.015722181648015976,0.015111022628843784,0.011430144309997559,0.0142135601490736,0.017551245167851448,0.023350544273853302,0.024234063923358917,0.026508387178182602
