PacketType,PayloadLen,DeviceID,Timestamp,PacketID,accel,Flags,Battery,CRC,time
2.0,24.0,2.0,6698.0,19.0,"[0.0, 0.0, 0.0]",3.0,0.0,153.0,0.18
2.0,24.0,1.0,6701.0,20.0,"[0.0, 0.0, 0.0]",3.0,0.0,53.0,0.183
2.0,24.0,3.0,6703.0,20.0,"[0.0, 0.0, 0.0]",3.0,0.0,24.0,0.185
2.0,24.0,2.0,6705.0,20.0,"[0.0, 0.0, 0.0]",3.0,0.0,248.0,0.187
2.0,24.0,1.0,6708.0,21.0,"[0.0, 0.0, 0.0]",3.0,0.0,243.0,0.19
2.0,24.0,3.0,6709.0,21.0,"[0.0, 0.0, 0.0]",3.0,0.0,23.0,0.191
2.0,24.0,2.0,6710.0,21.0,"[0.0, 0.0, 0.0]",3.0,0.0,241.0,0.192
2.0,24.0,1.0,6714.0,22.0,"[0.0, 0.0, 0.0]",3.0,0.0,199.0,0.196
2.0,24.0,2.0,6715.0,22.0,"[0.0, 0.0, 0.0]",3.0,0.0,12.0,0.197
2.0,24.0,3.0,6716.0,22.0,"[0.0, 0.0, 0.0]",3.0,0.0,12.0,0.198
2.0,24.0,2.0,6719.0,23.0,"[0.0, 0.0, 0.0]",3.0,0.0,204.0,0.201
2.0,24.0,3.0,6721.0,23.0,"[0.0, 0.0, 0.0]",3.0,0.0,67.0,0.203
2.0,24.0,1.0,6722.0,23.0,"[0.0, 0.0, 0.0]",3.0,0.0,212.0,0.204
2.0,24.0,2.0,6732.0,24.0,"[0.0, 0.0, 0.0]",3.0,0.0,62.0,0.214
2.0,24.0,1.0,6733.0,24.0,"[0.0, 0.0, 0.0]",3.0,0.0,245.0,0.215
2.0,24.0,3.0,6734.0,24.0,"[0.0, 0.0, 0.0]",3.0,0.0,98.0,0.216
2.0,24.0,2.0,6738.0,25.0,"[0.0, 0.0, 0.0]",3.0,0.0,215.0,0.22
2.0,24.0,1.0,6739.0,25.0,"[0.0, 0.0, 0.0]",3.0,0.0,28.0,0.221
2.0,24.0,3.0,6740.0,25.0,"[0.0, 0.0, 0.0]",3.0,0.0,109.0,0.222
2.0,24.0,1.0,6745.0,26.0,"[0.0, 0.0, 0.0]",3.0,0.0,206.0,0.227
2.0,24.0,2.0,6746.0,26.0,"[0.0, 0.0, 0.0]",3.0,0.0,118.0,0.228
2.0,24.0,3.0,6747.0,26.0,"[0.0, 0.0, 0.0]",3.0,0.0,227.0,0.229
2.0,24.0,2.0,6751.0,27.0,"[0.0, 0.0, 0.0]",3.0,0.0,12.0,0.233
2.0,24.0,3.0,6752.0,27.0,"[0.0, 0.0, 0.0]",3.0,0.0,115.0,0.234
2.0,24.0,1.0,6753.0,27.0,"[0.0, 0.0, 0.0]",3.0,0.0,151.0,0.235
2.0,24.0,1.0,6757.0,28.0,"[0.0, 0.0, 0.0]",3.0,0.0,131.0,0.239
2.0,24.0,3.0,6758.0,28.0,"[0.0, 0.0, 0.0]",3.0,0.0,20.0,0.24
2.0,24.0,2.0,6759.0,28.0,"[0.0, 0.0, 0.0]",3.0,0.0,129.0,0.241
2.0,24.0,2.0,6763.0,29.0,"[0.0, 0.0, 0.0]",3.0,0.0,138.0,0.245
2.0,24.0,1.0,6764.0,29.0,"[0.0, 0.0, 0.0]",3.0,0.0,212.0,0.246
2.0,24.0,3.0,6767.0,29.0,"[0.0, 0.0, 0.0]",3.0,0.0,67.0,0.249
